Time, WaitQueueSize, AverageServiceTime, WorkingThreadCount, TotalThreadCount
10:56:15, 0, 0.100000, 0, 3
10:56:18, 0, 0.100000, 0, 3
10:56:21, 0, 0.100000, 0, 3
10:56:24, 0, 0.100000, 0, 3
10:56:27, 0, 0.100000, 0, 3
10:56:30, 0, 0.100000, 0, 3
10:56:33, 0, 0.100000, 0, 3
10:56:36, 0, 0.100000, 0, 3
10:56:39, 0, 0.100000, 0, 3
10:56:42, 0, 0.100000, 0, 3
10:56:45, 0, 0.100000, 0, 3
10:56:48, 0, 0.100000, 0, 3
10:56:51, 0, 0.100000, 0, 3
10:56:54, 0, 0.100000, 0, 3
10:56:57, 0, 0.100000, 0, 3
10:57:0, 0, 0.100000, 0, 3
10:57:3, 0, 0.100000, 0, 3
10:57:6, 0, 0.100000, 0, 3
10:57:9, 0, 0.100000, 0, 3
10:57:12, 0, 0.100000, 0, 3
10:57:15, 0, 0.100000, 0, 3
10:57:18, 0, 0.100000, 0, 3
10:57:21, 0, 0.100000, 0, 3
10:57:24, 0, 0.100000, 0, 3
10:57:27, 0, 0.100000, 0, 3
10:57:30, 0, 0.100000, 0, 3
10:57:33, 0, 0.100000, 0, 3
10:57:36, 0, 0.100000, 0, 3
10:57:39, 0, 0.100000, 0, 3
10:57:42, 0, 0.100000, 0, 3
10:57:45, 0, 0.100000, 0, 3
10:57:48, 0, 0.100000, 0, 3
10:57:51, 0, 0.100000, 0, 3
10:57:54, 0, 0.100000, 0, 3
10:57:57, 0, 0.100000, 0, 3
10:58:0, 0, 0.100000, 0, 3
10:58:3, 0, 0.100000, 0, 3
10:58:6, 0, 0.100000, 0, 3
10:58:9, 0, 0.100000, 0, 3
10:58:12, 0, 0.100000, 0, 3
10:58:15, 0, 0.100000, 0, 3
10:58:18, 0, 0.100000, 0, 3
10:58:21, 0, 0.100000, 0, 3
10:58:24, 0, 0.100000, 0, 3
10:58:27, 0, 0.100000, 0, 3
10:58:30, 0, 0.100000, 0, 3
10:58:33, 0, 0.100000, 0, 3
10:58:36, 0, 0.100000, 0, 3
10:58:39, 0, 0.100000, 0, 3
10:58:42, 0, 0.100000, 0, 3
10:58:45, 0, 0.100000, 0, 3
10:58:48, 0, 0.100000, 0, 3
10:58:51, 0, 0.100000, 0, 3
10:58:54, 0, 0.100000, 0, 3
10:58:57, 0, 0.100000, 0, 3
10:59:0, 0, 0.100000, 0, 3
10:59:3, 0, 0.100000, 0, 3
10:59:7, 0, 0.100000, 0, 3
10:59:9, 0, 0.100000, 0, 3
10:59:12, 0, 0.100000, 0, 3
10:59:15, 0, 0.100000, 0, 3
10:59:18, 0, 0.100000, 0, 3
10:59:21, 0, 0.100000, 0, 3
10:59:24, 0, 0.100000, 0, 3
10:59:28, 0, 0.100000, 0, 3
10:59:31, 0, 0.100000, 0, 3
10:59:34, 0, 0.100000, 0, 3
10:59:37, 0, 0.100000, 0, 3
10:59:40, 0, 0.100000, 0, 3
10:59:43, 0, 0.100000, 0, 3
10:59:46, 0, 0.100000, 0, 3
10:59:49, 0, 0.100000, 0, 3
10:59:52, 0, 0.100000, 0, 3
10:59:55, 0, 0.100000, 0, 3
10:59:58, 0, 0.100000, 0, 3
11:0:1, 0, 0.100000, 0, 3
11:0:4, 0, 0.100000, 0, 3
11:0:7, 0, 0.100000, 0, 3
11:0:10, 0, 0.100000, 0, 3
